<doc id="2218136" title="Vedad Ibi¨evi?" nonfiltered="1" processed="1" dbindex="480001">
Vedad vedar VMM02P0 0
el el DA0MS0 0
jardinero jardinero NCMS000 07285294
Rodney_Medina rodney_medina NP00000 0
. . Fp 0

En en SPS00 0
la el DA0FS0 0
temporada temporada NCFS000 10947841
2007-2008 2007-2008 Z 0
retornó retornar VMIS3S0 01367732
a a SPS00 0
Tiburones tiburones NP00000 0
y y CC 0
en en SPS00 0
la el DA0FS0 0
siguiente siguiente AQ0CS0 00129529
temporada temporada NCFS000 10947841
pasó pasar VMIS3S0 00235191
nuevamente nuevamente RG 0
a a SPS00 0
los el DA0MP0 0
Leones_de_el_Caracas leones_de_el_caracas NP00000 0
en en SPS00 0
cambio cambio NCMS000 05441797
por por SPS00 0
el el DA0MS0 0
lanzador lanzador NCMS000 07478795
Juan_Carlos_Ovalles juan_carlos_ovalles NP00000 0
. . Fp 0

Referencias referencias NP00000 05019162
. . Fp 0

ENDOFARTICLE endofarticle NP00000 0
. . Fp 0

</doc>
<doc id="2218174" title="S.League" nonfiltered="9" processed="9" dbindex="480009">
La el DA0FS0 0
S._League s._league NP00000 0
es ser VSIP3S0 01775973
la el DA0FS0 0
liga liga NCFS000 06110607
de de SPS00 0
primera 1 AO0FS0 02098880
división división NCFS000 06116890
de de SPS00 0
el el DA0MS0 0
fútbol fútbol NCMS000 00304700
de de SPS00 0
Singapur singapur NP00000 0
. . Fp 0

Fundada fundar VMP00SF 00430666
en en SPS00 0
1996 1996 Z 0
, , Fc 0
la el DA0FS0 0
liga liga NCFS000 06110607
actualmente actualmente RG 0
se se P0000000 0
compone componer VMIP3S0 01135997
de de SPS00 0
12 12 Z 0
equipos equipo NCMP000 06093198
. . Fp 0

Es ser VSIP3S0 01775973
la el DA0FS0 0
única único AQ0FS0 02112131
competición competición NCFS000 05542799
regular regular AQ0CS0 01891762
disputada disputar VMP00SF 00526635
por por SPS00 0
clubes club NCMP000 06107600
locales local AQ0CP0 02583089
de de SPS00 0
ese ese DD0MS0 0
país país NCMS000 06299747
. . Fp 0

Campeones campeones NP00000 0
. . Fp 0

Pichichis pichichis NP00000 0
. . Fp 0

Equipos_Actuales equipos_actuales NP00000 0
. . Fp 0

Albirex_Niigata_FC albirex_niigata_fc NP00000 0
( ( Fpa 0
Singapur singapur NP00000 0
) ) Fpt 0
; ; Fx 0
Balestier_Khalsa_FC balestier_khalsa_fc NP00000 0
; ; Fx 0
Dalian_Shide_Siwu_FC dalian_shide_siwu_fc NP00000 0
; ; Fx 0
Geylang_United_FC geylang_united_fc NP00000 0
; ; Fx 0
Gombak_United_FC gombak_united_fc NP00000 0
; ; Fx 0
Home_United_FC home_united_fc NP00000 0
; ; Fx 0
Sengkang_Punggol_FC sengkang_punggol_fc NP00000 0
; ; Fx 0
Singapore_Armed_Forces_FC singapore_armed_forces_fc NP00000 0
( ( Fpa 0
SAFFC saffc NP00000 0
) ) Fpt 0
; ; Fx 0
Super_Reds_FC super_reds_fc NP00000 0
; ; Fx 0
Tampines_Rovers_FC tampines_rovers_fc NP00000 0
; ; Fx 0
Woodlands_Wellington_FC woodlands_wellington_fc NP00000 0
; ; Fx 0
Young_Lions young_lions NP00000 0
( ( Fpa 0
sub-23 sub-23 Z 0
) ) Fpt 0
; ; Fx 0
Enlaces enlaces NP00000 0
externos externo AQ0MP0 00900427
. . Fp 0

Official_S._League official_s._league NP00000 0
website website NCFS000 0
; ; Fx 0
Football_Association football_association NP00000 0
of of NC00000 0
Singapore singapore NP00000 0
website website NCFS000 0
; ; Fx 0
ENDOFARTICLE endofarticle NP00000 0
. . Fp 0

</doc>
<doc id="2218178" title="Maya Lin" nonfiltered="10" processed="10" dbindex="480010">
Maya_Ying_Lin maya_ying_lin NP00000 0
( ( Fpa 0
chino chino NCMS000 05192706
tradicional tradicional AQ0CS0 00577362
: : Fd 0
; ; Fx 0
chino chino NCMS000 05192706
simplificado simplificar VMP00SM 00277815
: : Fd 0
; ; Fx 0
pinyin pinyin RG 0
: : Fd 0
Lín_Y lín_y NP00000 0
ng ng NCMN000 0
; ; Fx 0
nacida nacer VMP00SF 00249716
el el DA0MS0 0
5_de_octubre_de_1959 [??:5/10/1959:??.??:??] W 0
) ) Fpt 0
es ser VSIP3S0 01775973
una uno DI0FS0 0
artista artista NCCS000 07085533
y y CC 0
arquitecta arquitecto NCFS000 07082393
estadounidense estadounidense AQ0CS0 02702007
conocida conocer VMP00SF 00401762
por por SPS00 0
su su DP3CS0 0
trabajo trabajo NCMS000 00377835
en en SPS00 0
escultura escultura NCFS000 03290519
y y CC 0
arte arte NCCS000 00598038
de de SPS00 0
paisajes paisaje NCMP000 02905319
. . Fp 0

Su su DP3CS0 0
trabajo trabajo NCMS000 00377835
más más RG 0
conocido conocer VMP00SM 00401762
es ser VSIP3S0 01775973
el el DA0MS0 0
Monumento monumento NP00000 02984139
a a SPS00 0
los el DA0MP0 0
Veteranos_de_el_Vietnam veteranos_de_el_vietnam NP00000 0
en en SPS00 0
Washington_D._C. washington_d._c. NP00000 0
. . Fp 0

Enlaces enlace NCMP000 10061309
externos externo AQ0MP0 00900427
. . Fp 0

Mayalin mayalin NP00000 0
. . Fp 0
com com NCMN000 0
Sitio sitio NP00000 06381267
principal principal AQ0CS0 01225152
de de SPS00 0
el el DA0MS0 0
Maya_Lin_Studio maya_lin_studio NP00000 0
; ; Fx 0
Biografía biografía NP00000 04890744
, , Fc 0
entrevistas entrevista NCFP000 05377714
, , Fc 0
ensayos ensayo NCMP000 04468129
, , Fc 0
imágenes imagen NCFP000 04745386
artísticas artístico AQ0FP0 02280052
y y CC 0
videos videos NCMP000 0
de de SPS00 0
la el DA0FS0 0
serie serie NCFS000 06246946
de de SPS00 0
la el DA0FS0 0
PBS_Temporada pbs_temporada NP00000 0
1 1 Z 0
( ( Fpa 0
2001 2001 Z 0
) ) Fpt 0
; ; Fx 0
Peace_Chapel peace_chapel NP00000 0
en en SPS00 0
el el DA0MS0 0
Juniata_College juniata_college NP00000 0
en en SPS00 0
Huntingdon huntingdon NP00000 0
( ( Fpa 0
Pensilvania pensilvania NP00000 0
) ) Fpt 0
; ; Fx 0
Maya_Lin maya_lin NP00000 0
: : Fd 0
A a SPS00 0
Strong_Clear_Vision strong_clear_vision NP00000 0
( ( Fpa 0
1994 1994 Z 0
) ) Fpt 0
en en SPS00 0
la el DA0FS0 0
Internet_Movie_Database internet_movie_database NP00000 0
; ; Fx 0
Maya_Lin's_Earth_Day_Message maya_lin's_earth_day_message NP00000 0
of of NC00000 0
Hope hope NP00000 0
en en SPS00 0
el el DA0MS0 0
Día_de_la_Tierra día_de_la_tierra NP00000 0
de de SPS00 0
2006 2006 Z 0
en en SPS00 0
The_Nature_Conservancy the_nature_conservancy NP00000 0
; ; Fx 0
Confluence_Project confluence_project NP00000 0
situado situar VMP00SM 01354457
en en SPS00 0
Washington washington NP00000 0
y y CC 0
Oregón oregón NP00000 0
; ; Fx 0
Thompson_Gale_Publishers_Evaluación thompson_gale_publishers_evaluación NP00000 0
de de SPS00 0
su su DP3CS0 0
trabajo trabajo NCMS000 00377835
; ; Fx 0
Arte arte NP00000 00598038
público público NCMS000 06103316
de de SPS00 0
Mata_Lin mata_lin NP00000 0
en en SPS00 0
la el DA0FS0 0
Estación_Penn estación_penn NP00000 0
, , Fc 0
comisionado comisionar VMP00SM 01690743
por por SPS00 0
la el DA0FS0 0
MTA_Arts mta_arts NP00000 0
for for NCMS000 0
Transit transit NP00000 0
; ; Fx 0
Maya_Lin maya_lin NP00000 0
on on VMIS3P0 0
Universal_Loss universal_loss NP00000 0
and and NCMS000 0
Vietnam_Veterans_Memorial vietnam_veterans_memorial NP00000 0
en en SPS00 0
Fora fora NP00000 0
. . Fp 0
tv tv RG 0
; ; Fx 0
ENDOFARTICLE endofarticle NP00000 0
. . Fp 0

</doc>
<doc id="2218181" title="Annie Anderson" nonfiltered="11" processed="11" dbindex="480011">
Annie_Brittany_Anderson_Bailey annie_brittany_anderson_bailey NP00000 0
( ( Fpa 0
nacida nacido NCFS000 0
el el DA0MS0 0
6_de_mayo_de_1995 [??:6/5/1995:??.??:??] W 0
) ) Fpt 0
es ser VSIP3S0 01775973
una uno DI0FS0 0
actriz actriz NCFS000 07061896
y y CC 0
cantante cantante NCCS000 07577957
estadounidense estadounidense AQ0CS0 02702007
. . Fp 0

Annie annie NP00000 0
también también RG 0
es ser VSIP3S0 01775973
muy muy RG 0
conocida conocer VMP00SF 00401762
como como CS 0
Baby_Annie baby_annie NP00000 0
, , Fc 0
ese ese DD0MS0 0
sobrenombre sobrenombre NCMS000 04780372
se se P0000000 0
lo lo PP3CNA00 0
puso poner VMIS3S0 01026409
su su DP3CS0 0
hermana hermano NCFS000 07127521
Leah leah NP00000 0
porque porque CS 0
Annie annie NP00000 0
es ser VSIP3S0 01775973
la el DA0FS0 0
menor menor AQ0CS0 01492632
así así RG 0
que que CS 0
Leah leah NP00000 0
le le PP3CSD00 0
decía decir VMII1S0 00682542
" " Fe 0
Baby_Annie baby_annie NP00000 0
" " Fe 0
, , Fc 0
y y CC 0
también también RG 0
porque porque CS 0
en en SPS00 0
una uno DI0FS0 0
película película NCFS000 04960631
ella él PP3FS000 0
era ser VSII1S0 01775973
la el DA0FS0 0
menor menor AQ0CS0 01492632
de de SPS00 0
todos todo DI0MP0 0
los el DA0MP0 0
actores actor NCMP000 07061094
. . Fp 0

Biografía biografiar VMM02S0 0
. . Fp 0

Annie annie NP00000 0
nació nacer VMIS3S0 00249716
en en SPS00 0
New_Jersey new_jersey NP00000 0
, , Fc 0
Estados_Unidos estados_unidos NP00000 0
. . Fp 0

Su su DP3CS0 0
hermana hermano NCFS000 07127521
se se P0000000 0
llama llamar VMIP3S0 00696267
Leah_Anderson leah_anderson NP00000 0
y y CC 0
es ser VSIP3S0 01775973
actriz actriz NCFS000 07061896
. . Fp 0

Enlaces enlace NCMP000 10061309
externos externo AQ0MP0 00900427
. . Fp 0

Myspace_de_Annie_Anderson_ENDOFARTICLE myspace_de_annie_anderson_endofarticle NP00000 0
. . Fp 0

</doc>
<doc id="2218183" title="Live In Cocodrile Cafe" nonfiltered="12" processed="12" dbindex="480012">
Live_In_Cocodrile_Cafe live_in_cocodrile_cafe NP00000 0
es ser VSIP3S0 01775973
un uno DI0MS0 0
Álbum álbum NP00000 02177851
en en SPS00 0
vivo vivo AQ0MS0 00765788
de de SPS00 0
Mad_Season mad_season NP00000 0
, , Fc 0
grabado grabar VMP00SM 00856483
y y CC 0
lanzado lanzar VMP00SM 01036035
en en SPS00 0
1994 1994 Z 0
, , Fc 0
la el DA0FS0 0
novedad novedad NCFS000 03855074
de de SPS00 0
este este DD0MS0 0
disco disco NCMS000 03112307
es ser VSIP3S0 01775973
que que CS 0
contiene contener VMIP3S0 01793793
una uno DI0FS0 0
canción canción NCFS000 05284501
inédita inédito AQ0FS0 00439077
titulada titular VMP00SF 01592572
" " Fe 0
Jesusathon jesusathon NP00000 0
" " Fe 0
. . Fp 0

Listado_de_Temas listado_de_temas NP00000 0
. . Fp 0

Artificial_Red artificial_red NP00000 0
; ; Fx 0
Wake_Up wake_up NP00000 0
; ; Fx 0
I_Don't_Know_Anything i_don't_know_anything NP00000 0
; ; Fx 0
River_Of_Deceit river_of_deceit NP00000 0
; ; Fx 0
All_Alone all_alone NP00000 0
; ; Fx 0
November_Hotel november_hotel NP00000 0
; ; Fx 0
Lifeless_Dead lifeless_dead NP00000 0
; ; Fx 0
Jesusathon jesusathon NP00000 0
; ; Fx 0
Personal personal NP00000 06092672
. . Fp 0

Layne_Staley layne_staley NP00000 0
, , Fc 0
Voz voz NP00000 07669360
y y CC 0
guitarra guitarra NCFS000 02777744
; ; Fx 0
Mike_McCready mike_mccready NP00000 0
, , Fc 0
Guitarra guitarra NP00000 02777744
; ; Fx 0
John_Baker_Saunders john_baker_saunders NP00000 0
, , Fc 0
Bajo bajo NP00000 07103944
; ; Fx 0
Barrett_Martin barrett_martin NP00000 0
- - Fg 0
Batería batería NP00000 02265902
; ; Fx 0
ENDOFARTICLE endofarticle NP00000 0
. . Fp 0

</doc>
<doc id="2218186" title="Susan Chilcott" nonfiltered="13" processed="13" dbindex="480013">
Susan_Chilcott susan_chilcott NP00000 0
soprano soprano NCCS000 07593299
británica británico AQ0FS0 02868035
nacida nacer VMP00SF 00249716
el el DA0MS0 0
8_de_julio_de_1963 [??:8/7/1963:??.??:??] W 0
y y CC 0
fallecida fallecer VMP00SF 00250254
el el DA0MS0 0
4_de_septiembre_de_2003 [??:4/9/2003:??.??:??] W 0
. . Fp 0

Nació nacer VMIS3S0 00249716
cerca cerca RG 0
de de SPS00 0
Bath bath NP00000 0
y y CC 0
estudió estudiar VMIS3S0 00435242
en en SPS00 0
1982 1982 Z 0
en en SPS00 0
la el DA0FS0 0
Guildhall_School guildhall_school NP00000 0
of of NC00000 0
Music music NP00000 0
and and NCMS000 0
Drama drama NP00000 05257517
. . Fp 0

Debuto debutar VMIP1S0 01176337
en en SPS00 0
La la NP00000 05139941
flauta flauta NCFS000 02704985
mágica mágico AQ0FS0 01520348
en en SPS00 0
Oviedo oviedo NP00000 0
en en SPS00 0
1991 1991 Z 0
y y CC 0
en en SPS00 0
la el DA0FS0 0
Scottish_Opera scottish_opera NP00000 0
. . Fp 0

Fue ser VSIS3S0 01775973
una uno DI0FS0 0
notable notable AQ0CS0 01233569
soprano soprano NCCS000 07593299
inglesa inglés AQ0FS0 02762810
desaparecida desaparecer VMP00SF 00297331
tempranamente tempranamente RG 0
interpretó interpretar VMIS3S0 00422121
Desdemona desdemona NP00000 0
en en SPS00 0
Otello otello NP00000 0
con con SPS00 0
Placido placido NP00000 0
Domingo [G:??/??/??:??.??:??] W 0
, , Fc 0
Compositor compositor NP00000 07173042
en en SPS00 0
Ariadne ariadne NP00000 0
auf auf NC00000 0
Naxos naxos NP00000 0
, , Fc 0
Hermione hermione NP00000 0
en en SPS00 0
Winter's_Tale winter's_tale NP00000 0
in in RG 0
Bruselas bruselas NP00000 0
; ; Fx 0
Fiordiligi fiordiligi NP00000 0
y y CC 0
Tatiana tatiana NP00000 0
en en SPS00 0
Paris paris NP00000 08770925
junto_a junto_a SPS00 0
Thomas_Hampson thomas_hampson NP00000 0
; ; Fx 0
Donna_Elvira donna_elvira NP00000 0
en en SPS00 0
Ginebra ginebra NP00000 05927486
y y CC 0
Santa_Fe santa_fe NP00000 0
, , Fc 0
New_Mexico new_mexico NP00000 0
; ; Fx 0
Katya_Kabanova katya_kabanova NP00000 0
y y CC 0
Blanche blanche NP00000 0
en en SPS00 0
Dialogue dialogue NP00000 0
des d NCFP000 0
Carmelites carmelites NP00000 0
, , Fc 0
the the NCFS000 0
Governess governess NP00000 0
( ( Fpa 0
Turn_Of_The_Screw turn_of_the_screw NP00000 0
) ) Fpt 0
en en SPS00 0
Cincinnati cincinnati NP00000 0
; ; Fx 0
Rusalka rusalka NP00000 0
y y CC 0
otras otro PI0FP000 0
, , Fc 0
cantó cantar VMIS3S0 01184598
en en SPS00 0
Covent_Garden covent_garden NP00000 0
y y CC 0
el el DA0MS0 0
Metropolitan_Opera metropolitan_opera NP00000 0
. . Fp 0

Su su DP3CS0 0
última último AO0FS0 00958252
actuación actuación NCFS000 00359430
fue ser VSIS3S0 01775973
un uno DI0MS0 0
recital recital NCMS000 05157886
en en SPS00 0
Bruselas bruselas NP00000 0
con con SPS00 0
canciones canción NCFP000 05284501
basadas basar VMP00PF 00430666
en en SPS00 0
textos texto NCMP000 04816275
de de SPS00 0
William_Shakespeare william_shakespeare NP00000 0
y y CC 0
Emily_Dickinson emily_dickinson NP00000 0
acompañada acompañar VMP00SF 01383938
por por SPS00 0
el el DA0MS0 0
pianista pianista NCCS000 07475337
Iain_Burnside iain_burnside NP00000 0
y y CC 0
la el DA0FS0 0
actriz actriz NCFS000 07061896
Fiona_Shaw fiona_shaw NP00000 0
. . Fp 0

En en SPS00 0
2001 2001 Z 0
fue ser VSIS3S0 01775973
diagnosticada diagnosticar VMP00SF 00435856
con con SPS00 0
cáncer cáncer NCMS000 10229324
de de SPS00 0
mama mama NCFS000 04302762
y y CC 0
tratada tratar VMP00SF 00054862
. . Fp 0

Regresó regresar VMIS3S0 00268771
a a SPS00 0
el el DA0MS0 0
escenario escenario NCMS000 03281179
en en SPS00 0
2003 2003 Z 0
pero pero CC 0
tuvo tener VMIS3S0 01508689
una uno DI0FS0 0
recaída recaída NCFS000 00040312
fatal fatal AQ0CS0 00193648
ese ese DD0MS0 0
mismo mismo AQ0MS0 01990350
año año NCMS000 10917509
. . Fp 0

Enlaces enlace NCMP000 10061309
externos externo AQ0MP0 00900427
. . Fp 0

Obituario obituario NP00000 05057149
en en SPS00 0
EL_País el_país NP00000 0
; ; Fx 0
Obituario_The_Guardian obituario_the_guardian NP00000 0
; ; Fx 0
Como_Fiordiligi como_fiordiligi NP00000 0
en en SPS00 0
la el DA0FS0 0
Opera_de_Paris opera_de_paris NP00000 0
en en SPS00 0
1996 1996 Z 0
; ; Fx 0
ENDOFARTICLE endofarticle NP00000 0
. . Fp 0

</doc>
<doc id="2218204" title="Lilian Vélez" nonfiltered="14" processed="14" dbindex="480015">
Lilian_Vélez lilian_vélez NP00000 0
( ( Fpa 0
3_de_marzo_de_1924 [??:3/3/1924:??.??:??] W 0
- - Fg 0
26_de_junio_de_1948 [??:26/6/1948:??.??:??] W 0
, , Fc 0
Cebú cebú NP00000 01901881
) ) Fpt 0
, , Fc 0
fue ser VSIS3S0 01775973
una uno DI0FS0 0
popular popular AQ0CS0 01744822
actriz actriz NCFS000 07061896
de de SPS00 0
cine cine NCMS000 04735661
y y CC 0
cantante cantante NCCS000 07577957
filipina filipino AQ0FS0 02814580
, , Fc 0
en en SPS00 0
la el DA0FS0 0
década década NCFS000 10918381
de de SPS00 0
los el DA0MP0 0
años año NCMP000 10917509
40 40 Z 0
. . Fp 0

LLegó llegar VMIS3S0 01368651
por por SPS00 0
primera 1 AO0FS0 02098880
vez vez NCFS000 05449233
a a SPS00 0
el el DA0MS0 0
centro centro NCMS000 06286659
de de SPS00 0
atención atención NCFS000 00428745
cuando cuando CS 0
ganó ganar VMIS3S0 00744139
en en SPS00 0
su su DP3CS0 0
primer 1 AO0MS0 02098880
concurso concurso NCMS000 05542799
de_canto de_canto RG 0
dirigidos dirigir VMP00PM 00781920
solo solo AQ0MS0 02144240
para para SPS00 0
aficionados aficionado NCMP000 07255925
en en SPS00 0
una uno DI0FS0 0
radioemidora radioemidora NCFS000 0
a_mediados_de a_mediados_de SPS00 0
los el DA0MP0 0
años año NCMP000 10917509
30 30 Z 0
. . Fp 0

Antes_de antes_de SPS00 0
que que CS 0
estalle estallar VMSP1S0 00211486
la el DA0FS0 0
Segunda_Guerra_Mundial segunda_guerra_mundial NP00000 0
, , Fc 0
su su DP3CS0 0
carrera carrera NCFS000 05544480
como como CS 0
cantante cantante NCCS000 07577957
prosperó prosperar VMIS3S0 01599732
y y CC 0
se se P0000000 0
luego luego RG 0
se se P0000000 0
popularizó popularizar VMIS3S0 00656960
con con SPS00 0
una uno DI0FS0 0
de de SPS00 0
sus su DP3CP0 0
cada cada DI0CS0 0
canciones canción NCFP000 05284501
influeciados influeciados VMP00PM 0
por por SPS00 0
su su DP3CS0 0
padre padre NCMS000 07258194
, , Fc 0
Sa_Kabukiran sa_kabukiran NP00000 0
. . Fp 0

Vélez vélez NP00000 0
también también RG 0
ganó ganar VMIS3S0 00744139
el el DA0MS0 0
corazón corazón NCMS000 06286659
de de SPS00 0
José_Clímaco josé_clímaco NP00000 0
, , Fc 0
un uno DI0MS0 0
director director NCMS000 07175013
de de SPS00 0
la el DA0FS0 0
radioemisora radioemisor NCFS000 0
que que PR0CN000 0
había haber VAII1S0 01811792
patrocinado patrocinar VMP00SM 01519748
el el DA0MS0 0
concurso concurso NCMS000 05542799
. . Fp 0

Unos uno DI0MP0 0
años año NCMP000 10917509
después después RG 0
se se P0000000 0
casaron casar VMIS3P0 00883027
en en SPS00 0
1942 1942 Z 0
y y CC 0
tuvo tener VMIS3S0 01508689
una uno DI0FS0 0
hija hijo NCFS000 07592357
, , Fc 0
que que PR0CN000 0
juntos junto AQ0MP0 01420542
vivian vivian VMIP3P0 0
. . Fp 0

En en SPS00 0
la el DA0FS0 0
noche noche NCFS000 10885337
de de SPS00 0
el el DA0MS0 0
26_de_junio_de_1948 [??:26/6/1948:??.??:??] W 0
, , Fc 0
Anzures anzures NP00000 0
paga pagar VMIP3S0 01540968
una uno DI0FS0 0
inesperada inesperado AQ0FS0 00882438
visita visita NCFS000 00683152
a a SPS00 0
la el DA0FS0 0
casa casa NCFS000 06021037
de de SPS00 0
Ciudad_QuezónVélez ciudad_quezónvélez NP00000 0
. . Fp 0

A a SPS00 0
su su DP3CS0 0
llegada llegada NCFS000 00028503
, , Fc 0
Vélez vélez NP00000 0
fue ser VSIS3S0 01775973
apuñalada apuñalar VMP00SF 00839154
, , Fc 0
a a SPS00 0
su su DP3CS0 0
muerte muerte NCFS000 10867885
una uno DI0FS0 0
criada criado NCFS000 07222074
que que PR0CN000 0
había haber VAII1S0 01811792
llegado llegar VMP00SM 01368651
a a SPS00 0
su su DP3CS0 0
amante amante NCCS000 07255925
de de SPS00 0
la el DA0FS0 0
asistencia asistencia NCFS000 00782440
. . Fp 0

El el DA0MS0 0
crimen crimen NCMS000 00490590
se se P0000000 0
cometió cometer VMIS3S0 01760253
dentro_de dentro_de SPS00 0
la el DA0FS0 0
vista vista NCFS000 04555855
de de SPS00 0
Vélez-hija vélez-hija NP00000 0
, , Fc 0
que que PR0CN000 0
estaba estar VAII1S0 01811792
ileso ileso AQ0MS0 01266418
en en SPS00 0
el el DA0MS0 0
incidente incidente NCMS000 05447746
. . Fp 0

Anzures anzures NP00000 0
fue ser VSIS3S0 01775973
rápidamente rápidamente RG 0
detenido detener VMP00SM 01269636
, , Fc 0
juzgado juzgar VMP00SM 00452184
y y CC 0
condenado condenar VMP00SM 00613686
por por SPS00 0
los el DA0MP0 0
asesinatos asesinato NCMP000 00143589
. . Fp 0

Durante durante SPS00 0
su su DP3CS0 0
estancia estancia NCFS000 00682063
en en SPS00 0
Muntinglupa muntinglupa NP00000 0
, , Fc 0
Narding narding NP00000 0
contraído contraer VMP00SM 00873632
tuberculosis tuberculosis NCFN000 10172725
y y CC 0
más más RG 0
tarde tarde RG 0
fue ser VSIS3S0 01775973
indultado indultar VMP00SM 00612955
por por SPS00 0
el el DA0MS0 0
entonces entonces RG 0
Presidente_Elpidio_Quirino presidente_elpidio_quirino NP00000 0
. . Fp 0

Alrededor_de alrededor_de SPS00 0
dos 2 Z 0
meses mes NCMP000 10922179
después_de después_de SPS00 0
su su DP3CS0 0
puesta puesta NCFS000 05416802
en en SPS00 0
libertad libertad NCFS000 10079933
, , Fc 0
murió morir VMIS3S0 00250254
, , Fc 0
y y CC 0
su su DP3CS0 0
exacta exacto AQ0FS0 00867566
motivos motivo NCMP000 00013700
para para SPS00 0
el el DA0MS0 0
asesinato asesinato NCMS000 00143589
nunca nunca RG 0
fueron ser VSIS3P0 01775973
determinados determinar VMP00PM 00622132
. . Fp 0

En en SPS00 0
1995 1995 Z 0
, , Fc 0
todavía todavía RG 0
la el DA0FS0 0
polémica polémica NCFS000 05369415
persiguió perseguir VMIS3S0 01533628
la el DA0FS0 0
muerte muerte NCFS000 10867885
de de SPS00 0
la el DA0FS0 0
cantante cantante NCCS000 07577957
y y CC 0
actriz actriz NCFS000 07061896
dentro_de dentro_de SPS00 0
el el DA0MS0 0
mundo mundo NCMS000 06753779
cinematográfico cinematográfico AQ0MS0 0
. . Fp 0

ENDOFARTICLE endofarticle NP00000 0
. . Fp 0

</doc>
<doc id="2218213" title="Singapore Armed Forces Football Club" nonfiltered="15" processed="15" dbindex="480016">
El el DA0MS0 0
Singapore_Armed_Forces_Football_Club singapore_armed_forces_football_club NP00000 0
( ( Fpa 0
SAFFC saffc NP00000 0
) ) Fpt 0
es ser VSIP3S0 01775973
un uno DI0MS0 0
club club NCMS000 06107600
de de SPS00 0
fútbol fútbol NCMS000 00304700
profesional profesional AQ0CS0 01797364
de de SPS00 0
Singapur singapur NP00000 0
y y CC 0
es ser VSIP3S0 01775973
el el DA0MS0 0
actual actual AQ0CS0 01667781
campeón campeón NCMS000 07147536
de de SPS00 0
la el DA0FS0 0
S._League_de_Singapur s._league_de_singapur NP00000 0
. . Fp 0

El el DA0MS0 0
club club NCMS000 06107600
representa representar VMIP3S0 01787769
a a SPS00 0
las el DA0FP0 0
Fuerzas_Armadas_de_Singapur fuerzas_armadas_de_singapur NP00000 0
. . Fp 0

SAFFC saffc NP00000 0
ha haber VAIP3S0 01775163
sido ser VSP00SM 01775973
campeón campeón NCMS000 07147536
de de SPS00 0
la el DA0FS0 0
S._League s._league NP00000 0
siete 7 Z 0
veces vez NCFP000 05449233
en en SPS00 0
1997 1997 Z 0
, , Fc 0
1998 1998 Z 0
, , Fc 0
2000 2000 Z 0
, , Fc 0
2002 2002 Z 0
, , Fc 0
2006 2006 Z 0
, , Fc 0
2007 2007 Z 0
y y CC 0
2008 2008 Z 0
. . Fp 0

Enlaces enlace NCMP000 10061309
externos externo AQ0MP0 00900427
. . Fp 0

Página página NCFS000 04731849
oficial oficial AQ0CS0 01572959
de de SPS00 0
el el DA0MS0 0
club club NCMS000 06107600
; ; Fx 0
Página_de_SAFFC página_de_saffc NP00000 0
en en SPS00 0
la el DA0FS0 0
página página NCFS000 04731849
oficial oficial AQ0CS0 01572959
de de SPS00 0
la el DA0FS0 0
S._League s._league NP00000 0
; ; Fx 0
ENDOFARTICLE endofarticle NP00000 0
. . Fp 0

</doc>
<doc id="2218228" title="Incursiones de los rus en el Mar Caspio" nonfiltered="16" processed="16" dbindex="480017">
Las el DA0FP0 0
incursiones incursión NCFP000 00627831
de de SPS00 0
los el DA0MP0 0
rus rus NCMN000 0
en en SPS00 0
el el DA0MS0 0
Mar_Caspio mar_caspio NP00000 0
fueron ser VSIS3P0 01775973
una uno DI0FS0 0
serie serie NCFS000 06246946
de de SPS00 0
ataques ataque NCMP000 00625655
militares militar AQ0CP0 01454237
efectuados efectuar VMP00PM 01746300
por por SPS00 0
los el DA0MP0 0
rus rus NCMN000 0
entre entre SPS00 0
los el DA0MP0 0
años año NCMP000 10917509
864 864 Z 0
y y CC 0
1041 1041 Z 0
en en SPS00 0
las el DA0FP0 0
costas costa NCFP000 06801422
de de SPS00 0
el el DA0MS0 0
Mar_Caspio mar_caspio NP00000 0
. . Fp 0

a a SPS00 0
el el DA0MS0 0
principio principio NCMS000 05437768
, , Fc 0
los el DA0MP0 0
rus rus NCMN000 0
aparecieron aparecer VMIS3P0 00293860
en en SPS00 0
Serkland serkland NP00000 0
en en SPS00 0
el el DA0MS0 0
siglo_IX [s:ix] W 0
para para SPS00 0
comerciar comerciar VMN0000 01546679
a a SPS00 0
lo el DA0NS0 0
largo largo AQ0MS0 01380813
de de SPS00 0
la el DA0FS0 0
ruta ruta NCFS000 06348591
de de SPS00 0
el el DA0MS0 0
Volga volga NP00000 0
, , Fc 0
vendiendo vender VMG0000 01535023
pieles piel NCFP000 04068217
, , Fc 0
miel miel NCFS000 05887861
y y CC 0
esclavos esclavo NCMP000 07583414
. . Fp 0

Los el DA0MP0 0
primeros 1 AO0MP0 02098880
ataques ataque NCMP000 00625655
a a SPS00 0
pequeña pequeño AQ0FS0 01336443
escala escala NCFS000 09978973
se se P0000000 0
produjeron producir VMIS3P0 01128460
a a SPS00 0
finales final NCFP000 06314878
de de SPS00 0
el el DA0MS0 0
